// Format: type['b' for blocks, 'i' for items],subtype['block','stairs','slab','wall','tile_wall', etc...],name,texture(optional)

// Examples:
// b,block,example_block,example_texture
// b,block,polished_cobblestone,             <- (if there is no specified texture, uses 'filename.png')
// b,stairs,polished_cobblestone_stairs,polished_cobblestone
// b,slab,polished_cobblestone_slab,polished_cobblestone
// b,wall,polished_cobblestone_wall,polished_cobblestone

b,timber_frame,timber_frame_oak,timber_frame_oak
b,timber_cross_brace,timber_cross_brace_oak,timber_cross_brace_oak
b,timber_brace,timber_brace_oak,timber_brace_oak
b,timber_frame,timber_frame_spruce,timber_frame_spruce
b,timber_cross_brace,timber_cross_brace_spruce,timber_cross_brace_spruce
b,timber_brace,timber_brace_spruce,timber_brace_spruce
b,timber_frame,timber_frame_birch,timber_frame_birch
b,timber_cross_brace,timber_cross_brace_birch,timber_cross_brace_birch
b,timber_brace,timber_brace_birch,timber_brace_birch
b,timber_frame,timber_frame_jungle,timber_frame_jungle
b,timber_cross_brace,timber_cross_brace_jungle,timber_cross_brace_jungle
b,timber_brace,timber_brace_jungle,timber_brace_jungle
b,timber_frame,timber_frame_acacia,timber_frame_acacia
b,timber_cross_brace,timber_cross_brace_acacia,timber_cross_brace_acacia
b,timber_brace,timber_brace_acacia,timber_brace_acacia
b,timber_frame,timber_frame_dark_oak,timber_frame_dark_oak
b,timber_cross_brace,timber_cross_brace_dark_oak,timber_cross_brace_dark_oak
b,timber_brace,timber_brace_dark_oak,timber_brace_dark_oak
b,timber_frame,timber_frame_mangrove,timber_frame_mangrove
b,timber_cross_brace,timber_cross_brace_mangrove,timber_cross_brace_mangrove
b,timber_brace,timber_brace_mangrove,timber_brace_mangrove
b,timber_frame,timber_frame_cherry,timber_frame_cherry
b,timber_cross_brace,timber_cross_brace_cherry,timber_cross_brace_cherry
b,timber_brace,timber_brace_cherry,timber_brace_cherry
b,timber_frame,timber_frame_bamboo,timber_frame_bamboo
b,timber_cross_brace,timber_cross_brace_bamboo,timber_cross_brace_bamboo
b,timber_brace,timber_brace_bamboo,timber_brace_bamboo
b,timber_frame,timber_frame_crimson,timber_frame_crimson
b,timber_cross_brace,timber_cross_brace_crimson,timber_cross_brace_crimson
b,timber_brace,timber_brace_crimson,timber_brace_crimson
b,timber_frame,timber_frame_warped,timber_frame_warped
b,timber_cross_brace,timber_cross_brace_warped,timber_cross_brace_warped
b,timber_brace,timber_brace_warped,timber_brace_warped
b,timber_frame,timber_frame_pale_oak,timber_frame_pale_oak
b,timber_cross_brace,timber_cross_brace_pale_oak,timber_cross_brace_pale_oak
b,timber_brace,timber_brace_pale_oak,timber_brace_pale_oak
